PS C:\Users\Sam Jaudat> docker logs todoapp-sqlserver-1
SQL Server 2022 will run as non-root by default.
This container is running as user mssql.
Your master database file is owned by mssql.
To learn more visit https://go.microsoft.com/fwlink/?linkid=2099216.
2025-07-23 20:41:07.54 Server      The licensing PID was successfully processed. The new edition is [Express Edition].
2025-07-23 20:41:07.68 Server      Setup step is FORCE copying system data file 'C:\templatedata\model_replicatedmaster.mdf' to '/var/opt/mssql/data/model_replicatedmaster.mdf'.
2025-07-23 20:41:07.70 Server      Setup step is FORCE copying system data file 'C:\templatedata\model_replicatedmaster.ldf' to '/var/opt/mssql/data/model_replicatedmaster.ldf'.
2025-07-23 20:41:07.71 Server      Setup step is FORCE copying system data file 'C:\templatedata\model_msdbdata.mdf' to '/var/opt/mssql/data/model_msdbdata.mdf'.
2025-07-23 20:41:07.76 Server      Setup step is FORCE copying system data file 'C:\templatedata\model_msdblog.ldf' to '/var/opt/mssql/data/model_msdblog.ldf'.
2025-07-23 20:41:07.82 Server      Microsoft SQL Server 2022 (RTM-CU20) (KB5059390) - 16.0.4205.1 (X64)
        Jun 13 2025 13:38:45
        Copyright (C) 2022 Microsoft Corporation
        Express Edition (64-bit) on Linux (Ubuntu 22.04.5 LTS) <X64>
2025-07-23 20:41:07.83 Server      UTC adjustment: 0:00
2025-07-23 20:41:07.83 Server      (c) Microsoft Corporation.
2025-07-23 20:41:07.83 Server      All rights reserved.
2025-07-23 20:41:07.83 Server      Server process ID is 476.
2025-07-23 20:41:07.84 Server      Logging SQL Server messages in file '/var/opt/mssql/log/errorlog'.
2025-07-23 20:41:07.84 Server      Registry startup parameters:
         -d /var/opt/mssql/data/master.mdf
         -l /var/opt/mssql/data/mastlog.ldf
         -e /var/opt/mssql/log/errorlog
2025-07-23 20:41:07.85 Server      SQL Server detected 1 sockets with 4 cores per socket and 8 logical processors per socket, 8 total logical processors; using 8 logical processors based on SQL Server licensing. This is an informational message; no user action is required.
2025-07-23 20:41:07.85 Server      SQL Server is starting at normal priority base (=7). This is an informational message only. No user action is required.
2025-07-23 20:41:07.85 Server      Detected 6290 MB of RAM, 5809 MB of available memory, 5809 MB of available page file. This is an informational message; no user action is required.
2025-07-23 20:41:07.86 Server      Using conventional memory in the memory manager.
2025-07-23 20:41:07.86 Server      Detected pause instruction latency: 108 cycles.
2025-07-23 20:41:07.87 Server      SQL Server detected the following NUMA node configuration (NUMA Node number 0, Processor Group number 0, CPU Mask 0x00000000000000ff).
2025-07-23 20:41:07.87 Server      Page exclusion bitmap is enabled.
2025-07-23 20:41:07.92 Server      Buffer pool extension is not supported on Linux platform.
2025-07-23 20:41:07.93 Server      Buffer Pool: Allocating 8388608 bytes for 921145 hashPages.
2025-07-23 20:41:08.05 Server      Buffer pool extension is already disabled. No action is necessary.
2025-07-23 20:41:08.46 Server      Installing Client TLS certificates to the store.
2025-07-23 20:41:08.47 Server      CPU vectorization level(s) detected:  SSE SSE2 SSE3 SSSE3 SSE41 SSE42 AVX AVX2 POPCNT BMI1 BMI2 AVX512 (F CD BW DQ VL IFMA VBMI VBMI2 VNNI BITALG VPOQCNTDQ VP2INTERSECT)
2025-07-23 20:41:08.54 Server      Successfully initialized the TLS configuration. Allowed TLS protocol versions are ['1.0 1.1 1.2']. Allowed TLS ciphers are ['ECDHE-ECDSA-AES128-GCM-SHA256:ECDHE-ECDSA-AES256-GCM-SHA384:ECDHE-RSA-AES128-GCM-SHA256:ECDHE-RSA-AES256-GCM-SHA384:ECDHE-ECDSA-AES128-SHA256:ECDHE-ECDSA-AES256-SHA384:ECDHE-ECDSA-AES256-SHA:ECDHE-ECDSA-AES128-SHA:AES256-GCM-SHA384:AES128-GCM-SHA256:AES256-SHA256:AES128-SHA256:AES256-SHA:AES128-SHA:!DHE-RSA-AES256-GCM-SHA384:!DHE-RSA-AES128-GCM-SHA256:!DHE-RSA-AES256-SHA:!DHE-RSA-AES128-SHA'].
2025-07-23 20:41:08.57 Server      Query Store settings initialized with enabled = 1,
2025-07-23 20:41:08.58 Server      The maximum number of dedicated administrator connections for this instance is '1'
